StudentID,PHI1004,PHI1005,POL1001,HIS1002,INT1003,INT1006,FLF1105,FLF1106,FLF1107,MAT1093,MAT1094,MAT1095,PHY1100,PHY1103,ELT2035,INT2203,MAT1101,ELT2029,INT1050,INT2204,INT2205,INT2206,INT2209,INT2207,INT2208,INT2202,INT3202,INT3110,INT3306,INT3115,INT3507,MAT1099,MAT1100,ELT2028,ELT2031,ELT3044,BSA2022,INE1150,INE1151,INT3117,INT3105,INT3106,INT3108,INT3109,INT3111,INT3206,INT3207,INT3209,INT3213,INT3216,INT3217,INT3301,INT3303,INT3304,INT3305,INT3307,INT3309,INT3310,INT3501,INT3505,INT3506,INT3401,INT3403,INT3404,INT3407,INT3508,INT4050,INT3509,INT2201,INT3405,INT3402,INT3211,INT2020,INT2009,INT3212,INT3061,MAT1089,INT3221
9020019,7.3,7.3,7.5,6.6,7.7,8.8,7.9,7,6.9,5.65,5.6,5.7,4.7,3.85,5.5,7.6,6,?,6.1,7.7,8.3,9,6.5,5.5,5.9,9.4,7.8,4.8,8.9,9,?,6.3,6.4,?,?,?,?,?,?,?,?,?,6.9,?,?,?,?,?,?,?,9.7,9.2,?,?,?,8.4,?,10,?,?,?,?,5.4,?,?,8.5,8.1,?,?,?,?,?,?,?,?,?,?,?
9020029,5.9,5.9,5.7,6.3,5,4.9,6.6,6,7.1,6.05,6.9,5.5,5.5,8.7,4.6,5.3,6.6,?,0,5.2,4.8,4.5,7.9,6.9,4.1,0,6.6,3.8,3.8,6.6,?,6.5,8.6,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,6.1,?,?,7,?,?,?,4.2,?,7.6,?,?,8.1,?,5.6,?,?,7,?,5,?,?,?,?,?,?,?,?,?,7.9
9020047,5.8,5.8,7.6,7.2,8.2,4.9,8.6,7.4,7.2,5.6,4.4,6.1,5.4,6.75,6.5,8,7,?,6.5,4.9,5,8.6,6.9,5.1,9.2,5.1,7.1,7.2,4.2,8.1,?,8.1,7.5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,8.6,8.2,?,6.3,5.1,?,?,?,?,?,?,?,?,?,?,7.4,?,?,8,8.8,?,?,?,?,?,?,?,?,?,?,9
9020053,5.4,5.4,5.8,6.9,5.8,4.3,7.4,5.9,5.2,6.5,7.7,6.2,5.5,2.5,4.6,4.4,5.1,?,6.6,4.9,7.6,5.2,5.3,7.7,5.6,6.2,5.3,5.2,4,4,?,7.6,8.1,?,?,?,?,?,?,?,?,?,7,?,?,?,?,?,?,?,1.6,5,?,?,?,5.7,?,8.7,?,5.8,?,7,6,?,?,9,?,7,?,?,?,?,?,?,?,?,?,?
9020055,7.6,7.6,7,7.6,8.9,9.5,6.7,6.3,7.1,8,5.3,5.4,5.2,6.55,6.5,6.5,4.2,?,7.8,6.8,6.2,8.3,7.1,5.3,6.6,6.7,7,6.8,9.8,7.2,?,8.1,8.4,?,?,?,?,?,?,7.7,?,?,?,?,?,?,?,6.9,7.4,?,8.6,5.8,?,?,?,?,?,?,?,?,?,?,8.8,?,?,9,9.5,?,?,?,?,?,?,?,?,?,?,?
9020071,7.3,7.3,7.3,7.5,9.1,4.2,7.4,5.9,7.2,6.75,6.5,5.6,6,6.25,6.3,6.5,6.7,?,6,7.6,9.2,4.5,6.9,7.5,6.9,6.4,8.4,5.1,9.4,7.6,?,7.8,8.1,?,?,?,?,?,?,?,?,?,8.4,?,?,?,?,?,7.9,?,?,6.2,?,?,?,?,?,9.7,?,?,?,?,4.8,?,?,8.5,8.1,?,?,?,?,?,?,?,?,?,?,9
8020055,?,?,7.6,5.7,?,?,?,4.9,8.4,?,?,?,?,5.2,5.5,7.1,5.6,?,4.3,5.2,6,8.4,6.8,5.6,7.9,5.4,7.2,5.6,6.3,7.3,?,6.4,7.3,?,?,?,?,?,?,7.2,?,?,6.6,?,7,?,?,?,?,?,0,5.4,?,?,?,7,?,8.8,?,?,8.5,?,6.3,?,?,9,?,8,?,?,?,?,?,?,?,?,?,?
9020087,6.1,6.1,5.3,6.8,4.4,6,6.4,7.2,5.8,5.3,6.3,7,6.4,4.95,7,7.2,7.9,?,8.2,7.5,8.4,7.3,4.8,6.8,7.4,7.4,7.8,6.6,7,7.5,?,8.8,8.7,?,?,?,?,?,?,7.8,?,?,8.6,?,5,?,?,?,?,?,10,4,?,?,?,?,?,?,?,?,?,2.4,7,?,?,6.5,8.8,?,?,?,?,?,?,?,?,?,?,?
9020095,7.3,7.3,6.9,5.7,6.3,8.8,5.4,5.2,5.4,6.45,6.2,6.1,4.2,5.45,4.1,5.3,4.6,?,8,5.9,5.3,5.2,4,4.3,8.2,4.6,4.7,5,7.8,7.8,?,7.2,4.4,?,?,?,?,?,?,?,?,?,?,?,4.2,?,?,?,4.6,?,0,5.5,?,?,?,4.9,?,9.4,?,5.8,?,5.8,3.6,?,?,8,?,6.5,?,?,?,?,?,?,?,?,?,7.6
9020097,?,?,?,?,4.3,6.9,4,0,?,4.35,5.9,2.5,4.5,2.8,?,5.1,?,?,0,2.4,0,0,0,?,0,1.3,?,2.4,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
