Semester,Score,Score Range
2.2013-2014,7.7,5to8
2.2013-2014,7.9,5to8
2.2013-2014,0,0to5
2.2013-2014,7.9,5to8
2.2013-2014,7.1,5to8
2.2013-2014,3.2,0to5
2.2013-2014,7.4,5to8
2.2013-2014,8,8to10
2.2013-2014,7.5,5to8
2.2013-2014,7.6,5to8
2.2013-2014,7.4,5to8
2.2013-2014,7.6,5to8
2.2013-2014,7.6,5to8
2.2013-2014,7.7,5to8
2.2013-2014,7.9,5to8
2.2013-2014,7.6,5to8
2.2013-2014,7.8,5to8
2.2013-2014,8.2,8to10
2.2013-2014,7.9,5to8
2.2013-2014,8.4,8to10
2.2013-2014,8.2,8to10
2.2013-2014,8.4,8to10
2.2013-2014,7.8,5to8
2.2013-2014,7.5,5to8
2.2013-2014,7.8,5to8
2.2013-2014,8.5,8to10
2.2013-2014,7.3,5to8
2.2013-2014,8.2,8to10
2.2013-2014,7.6,5to8
2.2013-2014,7.1,5to8
2.2013-2014,7.3,5to8
2.2013-2014,7.4,5to8
2.2013-2014,8.8,8to10
2.2013-2014,7.6,5to8
2.2013-2014,8.1,8to10
2.2013-2014,9.2,8to10
2.2013-2014,7.6,5to8
2.2013-2014,7.3,5to8
2.2013-2014,7.6,5to8
2.2013-2014,7.9,5to8
2.2013-2014,7.6,5to8
