Semester,Score,Score Range
2.2014-2015,0,0to5
2.2014-2015,6,5to8
2.2014-2015,7.2,5to8
2.2014-2015,7,5to8
2.2014-2015,3.2,0to5
2.2014-2015,7.8,5to8
2.2014-2015,7.2,5to8
2.2014-2015,7.2,5to8
2.2014-2015,6,5to8
2.2014-2015,7,5to8
2.2014-2015,7.2,5to8
2.2014-2015,6.5,5to8
2.2014-2015,6.9,5to8
2.2014-2015,6.6,5to8
2.2014-2015,7.2,5to8
2.2014-2015,8,8to10
2.2014-2015,6.6,5to8
2.2014-2015,6.4,5to8
2.2014-2015,7.2,5to8
2.2014-2015,6.2,5to8
2.2014-2015,6,5to8
2.2014-2015,5.6,5to8
2.2014-2015,6.9,5to8
2.2014-2015,6.3,5to8
2.2014-2015,7.3,5to8
2.2014-2015,7.2,5to8
2.2014-2015,7.2,5to8
2.2014-2015,6.4,5to8
2.2014-2015,7.6,5to8
2.2014-2015,6,5to8
2.2014-2015,6.2,5to8
2.2014-2015,5.4,5to8
2.2014-2015,7,5to8
2.2014-2015,8.2,8to10
2.2014-2015,5.4,5to8
2.2014-2015,4.2,0to5
2.2014-2015,7.4,5to8
2.2014-2015,7.7,5to8
2.2014-2015,6.2,5to8
2.2014-2015,6,5to8
2.2014-2015,6.6,5to8
2.2014-2015,6,5to8
2.2014-2015,6.4,5to8
2.2014-2015,5.8,5to8
2.2014-2015,6.6,5to8
2.2014-2015,7.2,5to8
2.2014-2015,7.2,5to8
2.2014-2015,6.2,5to8
2.2014-2015,2.8,0to5
2.2014-2015,5.2,5to8
2.2014-2015,6.4,5to8
2.2014-2015,6.6,5to8
2.2014-2015,5.8,5to8
2.2014-2015,5,5to8
2.2014-2015,2.6,0to5
2.2014-2015,3.8,0to5
2.2014-2015,6.5,5to8
2.2014-2015,6.2,5to8
2.2014-2015,7.4,5to8
