Semester,Score,Score Range
2.2014-2015,2.4,0to5
1.2015-2016,5.6,5to8
2.2014-2015,8.4,8to10
2.2014-2015,6,5to8
2.2014-2015,7,5to8
1.2015-2016,5.9,5to8
2.2014-2015,5.6,5to8
2.2014-2015,7.4,5to8
2.2014-2015,6.8,5to8
2.2014-2015,3.9,0to5
2.2014-2015,2.4,0to5
2.2014-2015,5,5to8
2.2014-2015,8.1,8to10
2.2014-2015,5.6,5to8
1.2015-2016,6.4,5to8
2.2014-2015,5.9,5to8
2.2014-2015,5.1,5to8
2.2014-2015,3.4,0to5
2.2014-2015,1.2,0to5
1.2015-2016,3.9,0to5
2.2014-2015,5.2,5to8
2.2014-2015,5.4,5to8
2.2014-2015,5.7,5to8
2.2014-2015,4.8,0to5
2.2014-2015,4.8,0to5
2.2014-2015,7,5to8
2.2014-2015,7.1,5to8
2.2014-2015,6.5,5to8
2.2014-2015,5.1,5to8
1.2014-2015,2.1,0to5
1.2015-2016,0,0to5
2.2014-2015,4.7,0to5
2.2014-2015,7.8,5to8
2.2014-2015,5.7,5to8
2.2014-2015,4.8,0to5
2.2014-2015,3.6,0to5
1.2015-2016,7.4,5to8
2.2014-2015,4.8,0to5
1.2015-2016,6,5to8
2.2014-2015,5.6,5to8
2.2014-2015,1.5,0to5
2.2014-2015,7.2,5to8
2.2014-2015,6.4,5to8
2.2014-2015,4.6,0to5
2.2014-2015,6.3,5to8
2.2014-2015,5,5to8
2.2014-2015,6.6,5to8
2.2014-2015,0,0to5
2.2014-2015,6.4,5to8
2.2014-2015,0,0to5
2.2014-2015,2.4,0to5
2.2014-2015,0,0to5
1.2015-2016,7.3,5to8
2.2014-2015,5.4,5to8
2.2014-2015,8.8,8to10
2.2014-2015,6.3,5to8
2.2014-2015,4.4,0to5
2.2014-2015,3.4,0to5
1.2015-2016,6.2,5to8
2.2014-2015,3.9,0to5
2.2014-2015,6,5to8
2.2014-2015,7.3,5to8
2.2014-2015,7,5to8
2.2014-2015,6.3,5to8
2.2014-2015,1.2,0to5
2.2014-2015,6.3,5to8
2.2014-2015,7.5,5to8
1.2014-2015,5.9,5to8
2.2014-2015,3.6,0to5
2.2014-2015,6.3,5to8
2.2014-2015,6,5to8
2.2014-2015,6.6,5to8
2.2014-2015,0,0to5
1.2015-2016,0,0to5
2.2014-2015,0,0to5
2.2014-2015,7.2,5to8
2.2014-2015,2.7,0to5
1.2015-2016,5.4,5to8
2.2014-2015,7.3,5to8
2.2014-2015,6,5to8
2.2014-2015,5.4,5to8
2.2014-2015,5.7,5to8
2.2014-2015,5.6,5to8
2.2014-2015,7.8,5to8
2.2014-2015,4.1,0to5
2.2014-2015,6,5to8
2.2014-2015,4.6,0to5
2.2014-2015,6.6,5to8
2.2014-2015,7,5to8
2.2014-2015,5.7,5to8
2.2014-2015,4.5,0to5
1.2014-2015,6,5to8
1.2014-2015,8.1,8to10
2.2014-2015,5.1,5to8
2.2014-2015,5.7,5to8
2.2014-2015,6,5to8
2.2014-2015,7.1,5to8
2.2014-2015,6.5,5to8
2.2014-2015,8,8to10
2.2014-2015,7.7,5to8
2.2014-2015,7.4,5to8
2.2014-2015,4.7,0to5
2.2014-2015,3.9,0to5
1.2015-2016,7.4,5to8
2.2014-2015,4.2,0to5
2.2014-2015,7.2,5to8
2.2014-2015,4.5,0to5
2.2014-2015,6.4,5to8
2.2014-2015,6.6,5to8
2.2014-2015,6.9,5to8
2.2014-2015,5.4,5to8
1.2014-2015,8.9,8to10
2.2014-2015,1.6,0to5
1.2015-2016,6.5,5to8
2.2014-2015,7.1,5to8
2.2014-2015,2.1,0to5
1.2015-2016,0,0to5
2.2014-2015,7.8,5to8
2.2014-2015,7.7,5to8
2.2014-2015,5.9,5to8
2.2014-2015,5.7,5to8
2.2014-2015,6.4,5to8
2.2014-2015,4.7,0to5
2.2014-2015,7.6,5to8
2.2014-2015,6.2,5to8
2.2014-2015,5.7,5to8
2.2014-2015,6.3,5to8
2.2014-2015,7.3,5to8
2.2014-2015,1.7,0to5
2.2014-2015,5.1,5to8
2.2014-2015,6.3,5to8
2.2014-2015,5.1,5to8
2.2014-2015,5.4,5to8
2.2014-2015,6,5to8
2.2014-2015,1.8,0to5
2.2014-2015,5.7,5to8
2.2014-2015,7.5,5to8
2.2014-2015,4.8,0to5
2.2014-2015,7.5,5to8
2.2014-2015,7.1,5to8
2.2014-2015,5.9,5to8
2.2014-2015,7.7,5to8
2.2014-2015,4.2,0to5
2.2014-2015,6.3,5to8
2.2014-2015,5.2,5to8
2.2014-2015,6,5to8
2.2014-2015,7,5to8
1.2015-2016,2.2,0to5
2.2014-2015,7.7,5to8
2.2014-2015,6.7,5to8
2.2014-2015,0,0to5
2.2014-2015,4.1,0to5
2.2014-2015,6,5to8
2.2014-2015,7.6,5to8
2.2014-2015,6.2,5to8
1.2014-2015,5.7,5to8
2.2014-2015,4.2,0to5
2.2014-2015,6,5to8
2.2014-2015,6.6,5to8
2.2014-2015,4.8,0to5
2.2014-2015,3.6,0to5
2.2014-2015,7.2,5to8
2.2014-2015,6.7,5to8
2.2014-2015,6.1,5to8
2.2014-2015,4.4,0to5
2.2014-2015,2.9,0to5
2.2014-2015,2.6,0to5
2.2014-2015,6,5to8
1.2012-2013,5.8,5to8
2.2012-2013,5.3,5to8
2.2012-2013,8,8to10
1.2012-2013,5.6,5to8
1.2012-2013,3.4,0to5
2.2012-2013,6.9,5to8
2.2012-2013,5.8,5to8
1.2014-2015,6.6,5to8
1.2012-2013,6.1,5to8
2.2012-2013,6.9,5to8
2.2012-2013,7,5to8
2.2012-2013,4.8,0to5
1.2014-2015,0,0to5
1.2015-2016,0,0to5
2.2012-2013,6.9,5to8
2.2012-2013,5.9,5to8
2.2012-2013,7.5,5to8
1.2012-2013,6.1,5to8
2.2012-2013,6.9,5to8
1.2012-2013,2.6,0to5
2.2012-2013,5.5,5to8
1.2014-2015,5.7,5to8
1.2014-2015,4.8,0to5
2.2012-2013,5.1,5to8
2.2012-2013,6.7,5to8
2.2012-2013,6.4,5to8
2.2012-2013,6.6,5to8
2.2012-2013,6.4,5to8
1.2012-2013,6.5,5to8
2.2012-2013,6.6,5to8
2.2012-2013,7.2,5to8
1.2014-2015,4.9,0to5
2.2012-2013,6,5to8
2.2012-2013,6.9,5to8
1.2014-2015,3.9,0to5
1.2015-2016,6.2,5to8
1.2014-2015,6.6,5to8
1.2015-2016,5.6,5to8
1.2014-2015,5.4,5to8
1.2014-2015,5.1,5to8
2.2012-2013,7,5to8
1.2014-2015,3,0to5
2.2012-2013,3.9,0to5
2.2012-2013,7.3,5to8
2.2012-2013,7.3,5to8
1.2012-2013,4.9,0to5
2.2012-2013,6.1,5to8
1.2014-2015,8,8to10
2.2012-2013,5.8,5to8
2.2012-2013,7.2,5to8
2.2012-2013,7.6,5to8
2.2012-2013,6.1,5to8
2.2012-2013,7,5to8
1.2014-2015,6.8,5to8
2.2012-2013,6.9,5to8
1.2014-2015,7.1,5to8
2.2012-2013,6.5,5to8
1.2014-2015,6.4,5to8
2.2012-2013,7.8,5to8
2.2012-2013,4.9,0to5
1.2014-2015,4.2,0to5
2.2012-2013,7.1,5to8
2.2012-2013,5.5,5to8
2.2012-2013,5.5,5to8
2.2012-2013,6.7,5to8
1.2014-2015,6.6,5to8
1.2014-2015,5.3,5to8
2.2012-2013,6.2,5to8
2.2012-2013,6.7,5to8
2.2012-2013,7,5to8
2.2012-2013,6.6,5to8
1.2012-2013,6.5,5to8
2.2012-2013,5.3,5to8
1.2012-2013,6.9,5to8
1.2014-2015,6.1,5to8
1.2014-2015,4.4,0to5
1.2014-2015,4.5,0to5
2.2012-2013,6.1,5to8
1.2012-2013,2.5,0to5
1.2015-2016,6.8,5to8
1.2014-2015,3.5,0to5
1.2015-2016,3.7,0to5
1.2014-2015,5.7,5to8
2.2012-2013,6,5to8
1.2014-2015,7,5to8
1.2014-2015,4.4,0to5
1.2014-2015,5.5,5to8
1.2014-2015,7.2,5to8
2.2012-2013,7.9,5to8
1.2014-2015,7.4,5to8
2.2012-2013,6.4,5to8
1.2012-2013,6.8,5to8
2.2012-2013,7.1,5to8
2.2012-2013,4.7,0to5
1.2012-2013,3.7,0to5
1.2014-2015,5.3,5to8
2.2012-2013,6.5,5to8
2.2012-2013,6.5,5to8
2.2012-2013,6.6,5to8
2.2012-2013,6.3,5to8
1.2012-2013,1,0to5
1.2012-2013,6.1,5to8
1.2012-2013,5.9,5to8
1.2012-2013,5.1,5to8
2.2012-2013,7.7,5to8
2.2012-2013,5.9,5to8
1.2014-2015,5.2,5to8
2.2012-2013,7.6,5to8
2.2012-2013,7,5to8
2.2012-2013,4.6,0to5
1.2012-2013,7,5to8
2.2014-2015,6.9,5to8
1.2014-2015,2.5,0to5
2.2014-2015,0,0to5
1.2015-2016,2.8,0to5
2.2012-2013,6,5to8
2.2012-2013,7.5,5to8
2.2012-2013,5.5,5to8
1.2014-2015,4.3,0to5
2.2012-2013,5.3,5to8
2.2012-2013,6.9,5to8
1.2012-2013,7.7,5to8
1.2014-2015,7.1,5to8
1.2014-2015,4.8,0to5
2.2012-2013,4.6,0to5
2.2012-2013,6.8,5to8
1.2014-2015,5.9,5to8
2.2012-2013,6.4,5to8
1.2015-2016,6.3,5to8
2.2012-2013,7.3,5to8
2.2012-2013,6.1,5to8
2.2012-2013,6.5,5to8
2.2012-2013,5.7,5to8
2.2012-2013,7.2,5to8
1.2014-2015,5.1,5to8
2.2012-2013,5.9,5to8
2.2012-2013,5.4,5to8
1.2014-2015,4.5,0to5
1.2014-2015,6.8,5to8
1.2014-2015,5.9,5to8
1.2014-2015,0,0to5
1.2015-2016,0,0to5
2.2012-2013,7.1,5to8
2.2012-2013,5.2,5to8
1.2014-2015,6.1,5to8
2.2012-2013,6.6,5to8
1.2014-2015,6.3,5to8
2.2012-2013,8.1,8to10
1.2012-2013,1.1,0to5
2.2012-2013,6.9,5to8
2.2012-2013,7.5,5to8
2.2012-2013,7.7,5to8
1.2014-2015,5.3,5to8
2.2012-2013,6.1,5to8
1.2014-2015,6.4,5to8
2.2012-2013,6.2,5to8
2.2012-2013,8.4,8to10
2.2012-2013,6.7,5to8
1.2012-2013,2.9,0to5
1.2014-2015,5,5to8
1.2012-2013,7.2,5to8
2.2011-2012,6.9,5to8
2.2011-2012,6.3,5to8
1.2012-2013,5.5,5to8
2.2011-2012,6.8,5to8
2.2011-2012,5.8,5to8
1.2012-2013,6,5to8
2.2011-2012,6.8,5to8
1.2012-2013,6.1,5to8
2.2011-2012,7.8,5to8
2.2011-2012,7.9,5to8
2.2011-2012,7,5to8
2.2011-2012,6.9,5to8
2.2011-2012,7.9,5to8
2.2011-2012,6.8,5to8
2.2011-2012,8.1,8to10
1.2012-2013,7,5to8
2.2011-2012,8,8to10
2.2011-2012,6.8,5to8
1.2012-2013,7.1,5to8
1.2012-2013,6.1,5to8
2.2012-2013,6.2,5to8
2.2011-2012,6.9,5to8
1.2012-2013,6.9,5to8
2.2011-2012,6.4,5to8
1.2012-2013,4.5,0to5
1.2012-2013,4.4,0to5
1.2012-2013,0,0to5
2.2012-2013,6.2,5to8
2.2011-2012,5.9,5to8
2.2012-2013,6,5to8
2.2011-2012,7.6,5to8
1.2012-2013,6.8,5to8
1.2014-2015,6.5,5to8
2.2012-2013,3.7,0to5
2.2014-2015,0,0to5
2.2011-2012,7.8,5to8
2.2011-2012,5.1,5to8
2.2011-2012,4.3,0to5
1.2012-2013,5.8,5to8
1.2012-2013,5.5,5to8
2.2011-2012,7.2,5to8
2.2011-2012,7.2,5to8
2.2011-2012,7.4,5to8
1.2012-2013,7.1,5to8
2.2011-2012,5.3,5to8
1.2012-2013,5.4,5to8
2.2011-2012,1,0to5
2.2012-2013,7.5,5to8
2.2011-2012,5.1,5to8
2.2011-2012,6.1,5to8
2.2011-2012,6.3,5to8
2.2011-2012,5.5,5to8
2.2011-2012,6.2,5to8
2.2011-2012,6.4,5to8
1.2012-2013,6.3,5to8
2.2011-2012,7,5to8
1.2012-2013,5.9,5to8
2.2011-2012,6.6,5to8
2.2011-2012,4.9,0to5
2.2011-2012,4.4,0to5
2.2011-2012,7.1,5to8
2.2011-2012,7.7,5to8
2.2011-2012,1,0to5
2.2014-2015,0,0to5
1.2015-2016,0,0to5
2.2011-2012,6.9,5to8
1.2012-2013,5.6,5to8
2.2011-2012,3.1,0to5
1.2012-2013,7.6,5to8
1.2012-2013,5.7,5to8
2.2011-2012,6.1,5to8
1.2012-2013,5.6,5to8
1.2012-2013,6.9,5to8
2.2012-2013,7.7,5to8
2.2011-2012,7,5to8
1.2012-2013,3.8,0to5
1.2014-2015,6.6,5to8
1.2011-2012,6.1,5to8
1.2011-2012,6.1,5to8
1.2012-2013,0,0to5
2.2012-2013,0,0to5
1.2011-2012,6,5to8
1.2012-2013,4.8,0to5
1.2012-2013,6.2,5to8
2.2011-2012,7,5to8
1.2011-2012,6.7,5to8
1.2014-2015,6.8,5to8
2.2011-2012,6.1,5to8
1.2012-2013,5.1,5to8
2.2011-2012,4.9,0to5
1.2012-2013,0,0to5
1.2014-2015,3.7,0to5
2.2014-2015,5.6,5to8
2.2012-2013,4.7,0to5
2.2011-2012,6.6,5to8
2.2011-2012,5.9,5to8
2.2011-2012,7.4,5to8
2.2012-2013,7.5,5to8
1.2011-2012,6.6,5to8
1.2012-2013,6.6,5to8
2.2011-2012,5.5,5to8
1.2011-2012,6.8,5to8
1.2012-2013,7.4,5to8
2.2011-2012,6.7,5to8
1.2011-2012,6.1,5to8
2.2011-2012,6.7,5to8
2.2011-2012,5.9,5to8
2.2011-2012,7.3,5to8
1.2012-2013,6.2,5to8
2.2011-2012,6,5to8
1.2012-2013,4.9,0to5
2.2011-2012,4.3,0to5
1.2011-2012,6,5to8
2.2011-2012,7.6,5to8
1.2011-2012,4.2,0to5
2.2011-2012,6.9,5to8
1.2012-2013,3.6,0to5
1.2014-2015,2,0to5
1.2015-2016,1.5,0to5
1.2011-2012,7.6,5to8
2.2011-2012,8.5,8to10
1.2011-2012,6.7,5to8
2.2011-2012,6.5,5to8
2.2011-2012,5.5,5to8
2.2011-2012,6.3,5to8
1.2012-2013,5.5,5to8
2.2011-2012,6.8,5to8
2.2012-2013,6.3,5to8
1.2012-2013,5.3,5to8
2.2011-2012,3,0to5
