Semester,Score,Score Range
1.2015-2016,9,8to10
1.2015-2016,8.5,8to10
1.2015-2016,9,8to10
1.2015-2016,8,8to10
1.2015-2016,7,5to8
1.2015-2016,8,8to10
1.2015-2016,7,5to8
1.2015-2016,7.5,5to8
1.2015-2016,8,8to10
1.2015-2016,8.5,8to10
1.2015-2016,9,8to10
1.2015-2016,5.5,5to8
1.2015-2016,8,8to10
1.2015-2016,7.5,5to8
1.2015-2016,8.5,8to10
1.2015-2016,6,5to8
1.2015-2016,9,8to10
1.2015-2016,8.5,8to10
1.2015-2016,7.5,5to8
1.2015-2016,9,8to10
1.2015-2016,8,8to10
1.2015-2016,7.5,5to8
1.2015-2016,9,8to10
1.2015-2016,8,8to10
1.2015-2016,9,8to10
1.2015-2016,7.5,5to8
1.2015-2016,7.5,5to8
1.2015-2016,6,5to8
1.2015-2016,8,8to10
1.2015-2016,6,5to8
1.2015-2016,9,8to10
1.2015-2016,10,8to10
1.2015-2016,7.5,5to8
1.2015-2016,8,8to10
1.2015-2016,8,8to10
1.2015-2016,9,8to10
1.2015-2016,10,8to10
1.2015-2016,9,8to10
1.2015-2016,9,8to10
1.2015-2016,8,8to10
1.2015-2016,10,8to10
1.2015-2016,9.5,8to10
1.2015-2016,8.5,8to10
1.2015-2016,9,8to10
1.2015-2016,8,8to10
1.2015-2016,8,8to10
1.2015-2016,9.5,8to10
1.2015-2016,8.5,8to10
1.2015-2016,0,0to5
1.2015-2016,10,8to10
1.2015-2016,8,8to10
1.2015-2016,8.5,8to10
1.2015-2016,9.5,8to10
1.2015-2016,8.5,8to10
1.2015-2016,9,8to10
1.2015-2016,9,8to10
1.2015-2016,8.5,8to10
1.2015-2016,8,8to10
1.2015-2016,0,0to5
1.2015-2016,0,0to5
1.2015-2016,9.5,8to10
1.2015-2016,8,8to10
1.2015-2016,8,8to10
1.2015-2016,8.5,8to10
1.2015-2016,8.5,8to10
1.2015-2016,0,0to5
1.2015-2016,9,8to10
1.2015-2016,8,8to10
1.2015-2016,7.5,5to8
1.2015-2016,9.5,8to10
1.2015-2016,6,5to8
1.2015-2016,8.5,8to10
1.2015-2016,8,8to10
1.2015-2016,9,8to10
1.2015-2016,9,8to10
1.2015-2016,0,0to5
1.2015-2016,9.5,8to10
1.2015-2016,9.5,8to10
1.2015-2016,0,0to5
1.2015-2016,8,8to10
1.2015-2016,7.5,5to8
1.2015-2016,8,8to10
1.2015-2016,8.5,8to10
1.2015-2016,9.5,8to10
1.2015-2016,9,8to10
1.2015-2016,10,8to10
1.2015-2016,9,8to10
1.2015-2016,8,8to10
1.2015-2016,8.5,8to10
1.2015-2016,8.5,8to10
1.2015-2016,9.5,8to10
1.2015-2016,9,8to10
1.2015-2016,8.5,8to10
1.2015-2016,8,8to10
1.2015-2016,9,8to10
1.2015-2016,8,8to10
1.2015-2016,6,5to8
1.2015-2016,9,8to10
1.2015-2016,5,5to8
1.2015-2016,8,8to10
1.2015-2016,7,5to8
1.2015-2016,0,0to5
1.2015-2016,7.5,5to8
1.2015-2016,9,8to10
1.2015-2016,8,8to10
1.2015-2016,8.5,8to10
1.2015-2016,7.5,5to8
1.2015-2016,9,8to10
1.2014-2015,9.3,8to10
1.2014-2015,9.5,8to10
1.2014-2015,7.5,5to8
1.2014-2015,8,8to10
1.2014-2015,8,8to10
1.2014-2015,8.5,8to10
1.2014-2015,9.5,8to10
1.2014-2015,6,5to8
1.2014-2015,9,8to10
1.2014-2015,8,8to10
1.2014-2015,8.5,8to10
1.2014-2015,8.5,8to10
1.2015-2016,0,0to5
1.2014-2015,8.5,8to10
1.2014-2015,6.5,5to8
1.2014-2015,9.3,8to10
1.2014-2015,8.5,8to10
1.2014-2015,9,8to10
1.2014-2015,0,0to5
1.2015-2016,9,8to10
1.2014-2015,9,8to10
1.2014-2015,7,5to8
1.2014-2015,9,8to10
1.2014-2015,7,5to8
1.2014-2015,8,8to10
1.2014-2015,0,0to5
1.2014-2015,0,0to5
1.2015-2016,9,8to10
1.2014-2015,9,8to10
1.2014-2015,8,8to10
1.2014-2015,0,0to5
1.2014-2015,9,8to10
1.2014-2015,8,8to10
1.2014-2015,8,8to10
1.2014-2015,8,8to10
1.2014-2015,7,5to8
1.2014-2015,8,8to10
1.2014-2015,9,8to10
1.2014-2015,7,5to8
1.2014-2015,7.8,5to8
1.2014-2015,8,8to10
1.2014-2015,9,8to10
1.2014-2015,8.5,8to10
1.2014-2015,9,8to10
1.2014-2015,0,0to5
1.2015-2016,0,0to5
1.2014-2015,9.5,8to10
1.2014-2015,9,8to10
1.2014-2015,7,5to8
1.2014-2015,8.5,8to10
1.2014-2015,8.5,8to10
1.2014-2015,7.8,5to8
1.2014-2015,9,8to10
1.2014-2015,8,8to10
1.2014-2015,9,8to10
1.2014-2015,0,0to5
1.2014-2015,0,0to5
1.2014-2015,9,8to10
1.2014-2015,7,5to8
1.2014-2015,9.5,8to10
1.2014-2015,0,0to5
1.2014-2015,9,8to10
1.2014-2015,0,0to5
