Semester,Score,Score Range
1.2015-2016,4.8,0to5
1.2015-2016,5.8,5to8
1.2015-2016,5.6,5to8
1.2015-2016,5.1,5to8
1.2015-2016,4.4,0to5
1.2015-2016,4.2,0to5
1.2015-2016,7,5to8
1.2015-2016,5.4,5to8
1.2015-2016,6.6,5to8
1.2015-2016,6.7,5to8
1.2015-2016,6.2,5to8
1.2015-2016,9.7,8to10
1.2015-2016,6.7,5to8
2.2014-2015,0,0to5
1.2015-2016,0,0to5
1.2015-2016,5,5to8
1.2015-2016,8.6,8to10
1.2015-2016,5.2,5to8
1.2015-2016,8.5,8to10
1.2015-2016,2.8,0to5
1.2015-2016,5.1,5to8
1.2015-2016,7.7,5to8
1.2015-2016,7.8,5to8
1.2015-2016,6.7,5to8
1.2015-2016,6.6,5to8
1.2015-2016,5.9,5to8
1.2015-2016,6.3,5to8
1.2015-2016,6.8,5to8
1.2015-2016,4.6,0to5
1.2015-2016,1.6,0to5
1.2015-2016,5,5to8
1.2015-2016,6.4,5to8
1.2015-2016,7.2,5to8
1.2015-2016,5.5,5to8
1.2015-2016,7.6,5to8
1.2015-2016,2.4,0to5
1.2015-2016,0,0to5
1.2015-2016,2,0to5
1.2015-2016,4.6,0to5
1.2015-2016,2.8,0to5
1.2015-2016,5,5to8
1.2015-2016,6,5to8
1.2015-2016,3,0to5
1.2015-2016,3.4,0to5
1.2015-2016,4.7,0to5
1.2015-2016,4.4,0to5
1.2015-2016,5.5,5to8
1.2015-2016,1.6,0to5
1.2015-2016,7.7,5to8
1.2015-2016,7,5to8
1.2015-2016,6.4,5to8
1.2015-2016,4.2,0to5
1.2015-2016,4,0to5
1.2015-2016,2.6,0to5
1.2015-2016,6.6,5to8
1.2015-2016,4,0to5
1.2015-2016,7,5to8
1.2015-2016,6,5to8
1.2015-2016,4.6,0to5
1.2015-2016,5.6,5to8
1.2015-2016,5.6,5to8
1.2015-2016,5.9,5to8
1.2015-2016,3.6,0to5
1.2015-2016,8.1,8to10
1.2015-2016,7.6,5to8
1.2015-2016,3.8,0to5
1.2015-2016,3.6,0to5
1.2015-2016,3.9,0to5
1.2015-2016,3.6,0to5
1.2015-2016,6.5,5to8
1.2015-2016,4.7,0to5
1.2015-2016,2.4,0to5
1.2015-2016,5.6,5to8
1.2015-2016,6.6,5to8
1.2015-2016,6.5,5to8
1.2015-2016,4,0to5
1.2015-2016,5.9,5to8
1.2014-2015,2.6,0to5
1.2015-2016,6.8,5to8
1.2015-2016,3.1,0to5
1.2015-2016,7.4,5to8
1.2015-2016,9,8to10
1.2015-2016,0,0to5
1.2015-2016,3.2,0to5
1.2015-2016,2.8,0to5
1.2015-2016,7.1,5to8
1.2015-2016,4.4,0to5
1.2015-2016,4.4,0to5
1.2015-2016,4.6,0to5
1.2015-2016,5.6,5to8
1.2015-2016,5,5to8
1.2015-2016,5,5to8
1.2015-2016,4.7,0to5
1.2015-2016,4.5,0to5
1.2015-2016,4.1,0to5
1.2015-2016,2.8,0to5
1.2015-2016,2,0to5
1.2015-2016,6.8,5to8
1.2015-2016,2,0to5
1.2015-2016,3.4,0to5
1.2015-2016,6.7,5to8
1.2015-2016,7.4,5to8
1.2015-2016,4.6,0to5
1.2015-2016,7.4,5to8
1.2015-2016,9.1,8to10
1.2015-2016,3.4,0to5
1.2015-2016,5.6,5to8
