Semester,Score,Score Range
1.2015-2016,7,5to8
1.2014-2015,0,0to5
1.2015-2016,2,0to5
1.2015-2016,3,0to5
1.2015-2016,6,5to8
1.2015-2016,0,0to5
1.2015-2016,7,5to8
1.2015-2016,8,8to10
1.2015-2016,5,5to8
1.2015-2016,8,8to10
1.2015-2016,8,8to10
1.2015-2016,8,8to10
1.2015-2016,9,8to10
1.2015-2016,8,8to10
1.2015-2016,2,0to5
1.2015-2016,5,5to8
1.2014-2015,5.7,5to8
1.2015-2016,6,5to8
1.2015-2016,7,5to8
1.2014-2015,2,0to5
1.2015-2016,8,8to10
1.2015-2016,2,0to5
1.2015-2016,5,5to8
1.2015-2016,2,0to5
1.2015-2016,6,5to8
1.2015-2016,2,0to5
1.2014-2015,9,8to10
1.2015-2016,5,5to8
1.2015-2016,2,0to5
1.2015-2016,9,8to10
1.2014-2015,7,5to8
1.2015-2016,6,5to8
1.2015-2016,5,5to8
1.2014-2015,9,8to10
1.2014-2015,5,5to8
1.2014-2015,8,8to10
1.2014-2015,6,5to8
1.2014-2015,6,5to8
1.2014-2015,9,8to10
1.2014-2015,6,5to8
1.2014-2015,7,5to8
1.2014-2015,8,8to10
1.2014-2015,8,8to10
1.2013-2014,3,0to5
2.2013-2014,8.8,8to10
1.2014-2015,6,5to8
1.2014-2015,6,5to8
1.2014-2015,9,8to10
1.2013-2014,5,5to8
1.2014-2015,8,8to10
1.2014-2015,9,8to10
1.2014-2015,9,8to10
1.2014-2015,6,5to8
1.2014-2015,6,5to8
1.2014-2015,8,8to10
1.2014-2015,6,5to8
1.2014-2015,9,8to10
1.2014-2015,8,8to10
1.2014-2015,2,0to5
1.2015-2016,6,5to8
1.2014-2015,8,8to10
1.2014-2015,8,8to10
1.2014-2015,6,5to8
1.2014-2015,5,5to8
1.2014-2015,7,5to8
1.2014-2015,8,8to10
1.2014-2015,3,0to5
1.2015-2016,0,0to5
1.2014-2015,7,5to8
1.2014-2015,8,8to10
1.2014-2015,0,0to5
1.2014-2015,6,5to8
1.2014-2015,6,5to8
1.2014-2015,9,8to10
1.2014-2015,6,5to8
1.2014-2015,2,0to5
1.2014-2015,3,0to5
1.2014-2015,3,0to5
1.2015-2016,0,0to5
1.2014-2015,9,8to10
1.2015-2016,2,0to5
1.2014-2015,8,8to10
1.2014-2015,3,0to5
1.2015-2016,5,5to8
1.2014-2015,8,8to10
1.2014-2015,7,5to8
2.2014-2015,6.3,5to8
1.2015-2016,5,5to8
1.2012-2013,8,8to10
1.2014-2015,7,5to8
1.2012-2013,5,5to8
1.2013-2014,8,8to10
1.2013-2014,9,8to10
1.2013-2014,9,8to10
1.2013-2014,8,8to10
2.2013-2014,8,8to10
1.2013-2014,6,5to8
1.2013-2014,6,5to8
1.2012-2013,0,0to5
1.2014-2015,9,8to10
1.2013-2014,7,5to8
1.2013-2014,9,8to10
1.2013-2014,8.8,8to10
2.2014-2015,3,0to5
1.2014-2015,6,5to8
1.2013-2014,6.8,5to8
1.2013-2014,3,0to5
1.2014-2015,7,5to8
1.2013-2014,3,0to5
1.2011-2012,7,5to8
2.2013-2014,9,8to10
2.2013-2014,8.8,8to10
2.2013-2014,7.5,5to8
2.2013-2014,9,8to10
1.2012-2013,7,5to8
1.2013-2014,3,0to5
1.2012-2013,5.8,5to8
1.2012-2013,5,5to8
1.2012-2013,6,5to8
1.2012-2013,5.8,5to8
1.2011-2012,7.6,5to8
2.2013-2014,5.6,5to8
1.2011-2012,6.6,5to8
