Semester,Score,Score Range
2.2013-2014,4.9,0to5
2.2013-2014,5.6,5to8
2.2013-2014,5,5to8
2.2013-2014,5,5to8
2.2013-2014,4,0to5
2.2013-2014,0,0to5
2.2013-2014,5.3,5to8
2.2013-2014,6.3,5to8
2.2013-2014,5.5,5to8
2.2013-2014,6.1,5to8
2.2013-2014,3.7,0to5
2.2013-2014,6.4,5to8
2.2013-2014,1.8,0to5
2.2013-2014,5.4,5to8
2.2013-2014,4.5,0to5
2.2013-2014,3.5,0to5
2.2013-2014,3.4,0to5
2.2013-2014,5.3,5to8
2.2013-2014,2.1,0to5
2.2013-2014,6.9,5to8
2.2013-2014,5.2,5to8
2.2013-2014,0,0to5
2.2013-2014,4,0to5
2.2013-2014,0,0to5
2.2013-2014,2.6,0to5
2.2013-2014,6.7,5to8
2.2013-2014,4.8,0to5
2.2013-2014,0,0to5
2.2013-2014,4.7,0to5
2.2013-2014,5.6,5to8
2.2013-2014,3.8,0to5
2.2013-2014,3.4,0to5
2.2013-2014,5.6,5to8
2.2013-2014,5,5to8
2.2013-2014,5,5to8
2.2013-2014,4.5,0to5
2.2013-2014,7.9,5to8
2.2013-2014,7.8,5to8
2.2013-2014,3.6,0to5
2.2013-2014,5.4,5to8
2.2013-2014,2.9,0to5
2.2013-2014,5.1,5to8
2.2013-2014,3.5,0to5
2.2013-2014,4.3,0to5
2.2013-2014,6.4,5to8
2.2013-2014,3.8,0to5
2.2013-2014,1.2,0to5
2.2013-2014,4.3,0to5
2.2013-2014,7.1,5to8
2.2013-2014,4.6,0to5
2.2013-2014,0,0to5
2.2013-2014,4.3,0to5
2.2013-2014,2.1,0to5
2.2013-2014,5.2,5to8
2.2013-2014,1.9,0to5
2.2013-2014,2.1,0to5
2.2013-2014,5.6,5to8
2.2013-2014,0,0to5
2.2013-2014,4,0to5
2.2013-2014,0.8,0to5
2.2013-2014,4,0to5
2.2013-2014,4.5,0to5
2.2013-2014,4.8,0to5
2.2013-2014,5.8,5to8
2.2013-2014,5.9,5to8
2.2013-2014,5.9,5to8
2.2013-2014,3.6,0to5
2.2013-2014,6.4,5to8
2.2013-2014,5.2,5to8
