Semester,Score,Score Range
2.2014-2015,5.3,5to8
2.2014-2015,6.7,5to8
2.2013-2014,7.3,5to8
2.2014-2015,8.2,8to10
2.2014-2015,6.8,5to8
2.2014-2015,6.9,5to8
2.2014-2015,4.3,0to5
2.2014-2015,0,0to5
2.2014-2015,8.6,8to10
2.2014-2015,8.5,8to10
2.2014-2015,7.5,5to8
2.2014-2015,6.1,5to8
2.2014-2015,6.3,5to8
2.2014-2015,6.8,5to8
2.2014-2015,6.1,5to8
2.2014-2015,6.4,5to8
2.2014-2015,4.9,0to5
2.2014-2015,5.3,5to8
2.2014-2015,3,0to5
2.2014-2015,6.3,5to8
2.2014-2015,0,0to5
2.2014-2015,4.8,0to5
2.2014-2015,8.3,8to10
2.2014-2015,6.2,5to8
2.2014-2015,2.4,0to5
2.2014-2015,8,8to10
2.2014-2015,0,0to5
2.2014-2015,2.5,0to5
2.2014-2015,8.4,8to10
2.2014-2015,0,0to5
2.2014-2015,6,5to8
2.2014-2015,6,5to8
2.2014-2015,6.1,5to8
2.2014-2015,5.6,5to8
2.2014-2015,5.7,5to8
2.2014-2015,8,8to10
2.2014-2015,6.5,5to8
2.2014-2015,7.5,5to8
2.2014-2015,6.8,5to8
2.2014-2015,6.7,5to8
2.2014-2015,9.6,8to10
2.2014-2015,4.4,0to5
2.2014-2015,2.2,0to5
2.2014-2015,1.9,0to5
2.2014-2015,2.1,0to5
2.2014-2015,6.5,5to8
2.2014-2015,6.6,5to8
2.2014-2015,1.8,0to5
2.2014-2015,8.8,8to10
2.2014-2015,2.5,0to5
2.2014-2015,6.5,5to8
2.2014-2015,4.6,0to5
2.2014-2015,6.8,5to8
2.2014-2015,6.9,5to8
2.2014-2015,9.6,8to10
2.2014-2015,8.9,8to10
2.2014-2015,6.5,5to8
2.2014-2015,3.3,0to5
2.2014-2015,8.5,8to10
2.2014-2015,2.7,0to5
2.2014-2015,6.9,5to8
2.2014-2015,8.1,8to10
2.2014-2015,5.6,5to8
2.2014-2015,0,0to5
2.2014-2015,9.7,8to10
2.2014-2015,7.2,5to8
2.2014-2015,6,5to8
2.2014-2015,6.6,5to8
2.2014-2015,6.9,5to8
2.2014-2015,7.7,5to8
2.2014-2015,5.7,5to8
2.2014-2015,0,0to5
2.2014-2015,1.7,0to5
2.2014-2015,0.7,0to5
2.2014-2015,0,0to5
2.2014-2015,6,5to8
2.2014-2015,5.7,5to8
2.2014-2015,5.6,5to8
2.2014-2015,6.1,5to8
2.2014-2015,7.5,5to8
2.2014-2015,4.7,0to5
2.2014-2015,6,5to8
2.2014-2015,6.5,5to8
2.2014-2015,2.1,0to5
