Semester,Score,Score Range
1.2013-2014,6,5to8
1.2013-2014,8.8,8to10
1.2013-2014,7.1,5to8
1.2013-2014,7,5to8
1.2013-2014,8.7,8to10
1.2013-2014,9.4,8to10
2.2011-2012,6.6,5to8
2.2012-2013,8.6,8to10
2.2011-2012,9.7,8to10
2.2011-2012,7.1,5to8
2.2012-2013,6.7,5to8
2.2012-2013,5.7,5to8
2.2011-2012,7.2,5to8
2.2011-2012,8.1,8to10
2.2011-2012,4.2,0to5
2.2011-2012,4.2,0to5
2.2012-2013,7.2,5to8
2.2011-2012,5.1,5to8
2.2012-2013,8.7,8to10
2.2011-2012,8.9,8to10
2.2011-2012,8.1,8to10
2.2011-2012,6.2,5to8
2.2012-2013,0.4,0to5
2.2012-2013,8.6,8to10
2.2011-2012,7.9,5to8
2.2011-2012,9,8to10
2.2011-2012,7.1,5to8
2.2011-2012,8.3,8to10
2.2011-2012,6.7,5to8
2.2012-2013,8.7,8to10
2.2011-2012,7.7,5to8
2.2011-2012,8.3,8to10
2.2011-2012,7.5,5to8
2.2011-2012,7.9,5to8
2.2012-2013,7.8,5to8
2.2011-2012,7.2,5to8
2.2011-2012,8.2,8to10
2.2011-2012,7.3,5to8
2.2011-2012,3.2,0to5
2.2011-2012,8.5,8to10
2.2012-2013,8.2,8to10
2.2011-2012,8.4,8to10
2.2011-2012,9.1,8to10
2.2011-2012,4.8,0to5
2.2012-2013,7.7,5to8
2.2011-2012,7.7,5to8
2.2012-2013,6.7,5to8
2.2011-2012,8.3,8to10
2.2011-2012,6.7,5to8
2.2011-2012,6.8,5to8
1.2010-2011,4,0to5
1.2010-2011,5.1,5to8
1.2010-2011,5.5,5to8
1.2010-2011,6.8,5to8
1.2010-2011,5.9,5to8
1.2010-2011,7.2,5to8
1.2010-2011,7.7,5to8
1.2010-2011,4.4,0to5
1.2010-2011,6.6,5to8
1.2010-2011,6.8,5to8
1.2010-2011,6.5,5to8
1.2010-2011,4.9,0to5
1.2010-2011,5.9,5to8
1.2010-2011,8.5,8to10
1.2010-2011,5,5to8
1.2010-2011,6.65,5to8
1.2010-2011,3.8,0to5
1.2010-2011,7.2,5to8
2.2010-2011,6.8,5to8
1.2010-2011,6.9,5to8
1.2010-2011,6.1,5to8
1.2010-2011,6.85,5to8
1.2010-2011,5.5,5to8
1.2010-2011,6.5,5to8
1.2010-2011,6.4,5to8
1.2010-2011,7.6,5to8
