Semester,Score,Score Range
2.2014-2015,0,0to5
1.2015-2016,0,0to5
1.2015-2016,4,0to5
2.2014-2015,0,0to5
2.2014-2015,0,0to5
2.2014-2015,7,5to8
2.2014-2015,6.3,5to8
2.2014-2015,0,0to5
1.2015-2016,0,0to5
2.2014-2015,4.5,0to5
2.2014-2015,0,0to5
2.2014-2015,6.5,5to8
2.2014-2015,7.1,5to8
2.2014-2015,6.1,5to8
2.2014-2015,5,5to8
2.2014-2015,4.6,0to5
2.2014-2015,8.1,8to10
2.2014-2015,0,0to5
2.2014-2015,7.5,5to8
2.2014-2015,5.2,5to8
2.2014-2015,7.1,5to8
2.2014-2015,7.1,5to8
2.2014-2015,6,5to8
2.2014-2015,5.6,5to8
2.2014-2015,6.3,5to8
2.2014-2015,7.7,5to8
2.2014-2015,0,0to5
2.2014-2015,0,0to5
2.2014-2015,0,0to5
2.2012-2013,5.8,5to8
2.2012-2013,0,0to5
2.2011-2012,6,5to8
2.2011-2012,6,5to8
2.2011-2012,8.6,8to10
2.2012-2013,0,0to5
2.2010-2011,7.9,5to8
2.2010-2011,7.6,5to8
2.2010-2011,6.3,5to8
2.2010-2011,7,5to8
2.2010-2011,7,5to8
2.2010-2011,6.2,5to8
2.2010-2011,6.2,5to8
2.2010-2011,8.2,8to10
2.2010-2011,6.2,5to8
2.2010-2011,8.5,8to10
2.2010-2011,7.3,5to8
2.2010-2011,5.8,5to8
2.2010-2011,6.2,5to8
2.2010-2011,6.5,5to8
2.2010-2011,7.5,5to8
2.2010-2011,5.8,5to8
2.2010-2011,7.4,5to8
2.2010-2011,7.3,5to8
2.2010-2011,5.1,5to8
2.2010-2011,6.6,5to8
2.2010-2011,6,5to8
2.2010-2011,7.1,5to8
2.2010-2011,7,5to8
2.2010-2011,7.3,5to8
2.2010-2011,4.9,0to5
2.2010-2011,6.6,5to8
2.2010-2011,7.3,5to8
2.2010-2011,6.7,5to8
1.2011-2012,6.8,5to8
2.2010-2011,5.5,5to8
2.2010-2011,7.6,5to8
2.2010-2011,6.3,5to8
2.2010-2011,7.6,5to8
2.2010-2011,6.6,5to8
2.2010-2011,6.6,5to8
2.2010-2011,6,5to8
2.2010-2011,5.9,5to8
2.2010-2011,5.2,5to8
2.2010-2011,5.2,5to8
2.2010-2011,7,5to8
2.2010-2011,5.5,5to8
2.2010-2011,8.2,8to10
2.2010-2011,7,5to8
2.2010-2011,7.9,5to8
2.2010-2011,8.8,8to10
2.2010-2011,7.9,5to8
2.2010-2011,7,5to8
2.2010-2011,7.2,5to8
2.2010-2011,7.1,5to8
2.2010-2011,8.3,8to10
2.2010-2011,7.2,5to8
2.2010-2011,8.5,8to10
2.2010-2011,7.8,5to8
