13020531,MAT1095,7.7,2011-01-01
13020531,PHY1100,8,2010-01-01
13020531,PHY1103,6.9,2012-01-01
13020531,INT2203,7.2,2012-01-01
13020531,MAT1101,3.4,2012-01-01
13020531,INT2204,0.4,2012-01-01
13020531,INT2202,4.2,2011-01-01
13020125,PHI1004,6.5,2012-01-01
13020125,INT1003,8.1,2010-01-01
13020125,INT1006,8.8,2010-01-01
13020125,FLF1106,6,2011-01-01
13020125,FLF1107,4.7,2012-01-01
13020125,MAT1093,6.6,2011-01-01
13020125,MAT1094,5.5,2010-01-01
13020125,MAT1095,7.2,2011-01-01
13020125,PHY1103,8.8,2012-01-01
13020125,INT2203,7.2,2012-01-01
13020125,MAT1101,6.9,2012-01-01
13020125,INT2204,8.1,2012-01-01
13020125,INT2205,10,2012-01-01
13020125,INT2202,6,2011-01-01
13020136,PHI1004,6.5,2012-01-01
13020136,INT1003,7.7,2010-01-01
13020136,INT1006,7.6,2010-01-01
13020136,FLF1105,10,2010-01-01
13020136,FLF1106,10,2011-01-01
13020136,FLF1107,10,2012-01-01
13020136,MAT1093,3.8,2011-01-01
13020136,MAT1094,7.5,2010-01-01
13020136,MAT1095,7.4,2011-01-01
13020136,PHY1100,5.9,2010-01-01
13020136,PHY1103,8,2012-01-01
13020136,INT2203,5.3,2012-01-01
13020136,INT2204,5.5,2012-01-01
13020136,INT2205,7.3,2012-01-01
13020136,INT2202,6.7,2011-01-01
13020137,INT1003,6.8,2010-01-01
13020137,INT1006,7.9,2011-01-01
13020137,FLF1105,6.8,2010-01-01
13020137,MAT1093,6.4,2011-01-01
13020137,MAT1094,8.3,2010-01-01
13020137,MAT1095,8.4,2011-01-01
13020137,PHY1100,5.7,2011-01-01
13020137,INT1050,7,2011-01-01
13020137,INT2204,8.3,2012-01-01
13020137,INT2205,9.4,2012-01-01
13020137,INT2208,6.7,2012-01-01
13020137,INT2202,9.6,2011-01-01
13020146,INT1003,7.5,2010-01-01
13020146,FLF1105,6.8,2010-01-01
13020146,FLF1106,7.8,2011-01-01
13020146,FLF1107,6.2,2012-01-01
13020146,MAT1093,4.7,2011-01-01
13020146,MAT1094,6.6,2010-01-01
13020146,MAT1095,9.4,2011-01-01
13020146,PHY1100,4.7,2010-01-01
13020146,PHY1103,8.5,2012-01-01
13020146,INT2203,7.4,2012-01-01
13020146,INT2204,4.6,2012-01-01
13020146,INT2205,9,2012-01-01
13020146,INT2202,4.2,2011-01-01
13020148,PHI1004,5.1,2012-01-01
13020148,INT1003,7.3,2010-01-01
13020148,INT1006,8.4,2010-01-01
13020148,FLF1105,7.8,2010-01-01
13020148,FLF1106,8.7,2011-01-01
13020148,FLF1107,7.1,2012-01-01
13020148,MAT1094,7.7,2010-01-01
13020148,MAT1095,9,2011-01-01
13020148,PHY1100,5.8,2010-01-01
13020148,PHY1103,7.8,2012-01-01
13020148,INT2203,6.5,2012-01-01
13020148,INT2204,5.7,2012-01-01
13020148,INT2205,8.6,2012-01-01
13020148,INT2202,6.8,2011-01-01
13020159,INT1003,4.5,2010-01-01
13020159,FLF1105,6.6,2010-01-01
13020159,FLF1106,7.1,2011-01-01
13020159,FLF1107,4.7,2012-01-01
13020159,MAT1093,3.3,2011-01-01
13020159,MAT1094,5.8,2010-01-01
13020159,MAT1095,5.4,2011-01-01
13020159,PHY1100,5.4,2010-01-01
13020159,PHY1103,8.1,2012-01-01
13020159,INT2205,9.7,2012-01-01
13020159,INT2202,5,2011-01-01
13020160,PHI1004,7,2012-01-01
13020160,INT1003,7.2,2010-01-01
13020160,INT1006,5,2010-01-01
13020160,FLF1105,8.8,2010-01-01
13020160,FLF1106,10,2011-01-01
13020160,FLF1107,10,2012-01-01
13020160,MAT1093,4.5,2011-01-01
13020160,MAT1094,5.5,2010-01-01
13020160,MAT1095,5.6,2011-01-01
13020160,PHY1100,5.4,2010-01-01
13020160,PHY1103,4.6,2012-01-01
13020160,INT2203,5.2,2012-01-01
13020160,INT2204,7.9,2012-01-01
13020160,INT2205,9.1,2012-01-01
13020160,INT2202,2.8,2011-01-01
13020713,PHI1004,4.2,2012-01-01
13020713,INT1003,8,2010-01-01
13020713,INT1006,7.3,2010-01-01
13020713,FLF1105,2.9,2010-01-01
13020713,FLF1106,6.5,2011-01-01
13020713,FLF1107,4.6,2012-01-01
13020713,MAT1093,5.4,2011-01-01
13020713,MAT1094,4.7,2010-01-01
13020713,PHY1100,7.3,2010-01-01
13020713,PHY1103,5.4,2012-01-01
13020713,INT2204,5.2,2012-01-01
13020713,INT2205,3,2012-01-01
13020713,INT2202,7,2011-01-01
13020183,PHI1004,2.4,2012-01-01
13020183,INT1003,8.6,2010-01-01
13020183,INT1006,6.8,2010-01-01
13020183,FLF1105,8.9,2010-01-01
13020183,FLF1106,8,2011-01-01
13020183,MAT1093,4.6,2011-01-01
13020183,MAT1094,6.1,2010-01-01
13020183,MAT1095,3.7,2011-01-01
13020183,PHY1103,8.4,2012-01-01
13020183,INT2203,7.3,2012-01-01
13020183,INT2204,6.2,2012-01-01
13020183,INT2202,7.6,2011-01-01
13020190,PHI1004,3.4,2012-01-01
13020190,INT1003,7.2,2010-01-01
13020190,INT1006,5,2010-01-01
13020190,FLF1105,4.9,2010-01-01
13020190,FLF1106,6.1,2011-01-01
13020190,MAT1093,3.6,2011-01-01
13020190,MAT1094,6.5,2010-01-01
13020190,MAT1095,8.4,2011-01-01
13020190,PHY1100,6.2,2010-01-01
13020190,PHY1103,5.1,2012-01-01
13020190,INT2203,0.5,2012-01-01
13020190,INT2202,6.8,2011-01-01
13020190,INT3403,0,2012-01-01
13020546,PHI1004,6.1,2012-01-01
13020546,INT1003,5.9,2010-01-01
13020546,INT1006,7.5,2010-01-01
13020546,FLF1105,6,2010-01-01
13020546,FLF1106,6.7,2011-01-01
13020546,MAT1093,5.2,2011-01-01
13020546,MAT1094,7.1,2010-01-01
13020546,MAT1095,7.8,2011-01-01
13020546,PHY1100,7,2010-01-01
13020546,PHY1103,6,2012-01-01
13020546,INT2203,5.4,2012-01-01
13020546,MAT1101,6.4,2012-01-01
13020546,INT2205,7,2012-01-01
13020546,INT2202,4.8,2011-01-01
13020196,PHI1004,7.8,2012-01-01
13020196,INT1003,7.2,2010-01-01
13020196,INT1006,7,2010-01-01
13020196,FLF1105,6,2010-01-01
13020196,FLF1106,5.4,2011-01-01
13020196,FLF1107,5.4,2012-01-01
13020196,MAT1093,6.6,2011-01-01
13020196,MAT1094,6.1,2010-01-01
13020196,MAT1095,9.4,2011-01-01
13020196,PHY1100,5.9,2010-01-01
13020196,PHY1103,7.8,2012-01-01
13020196,INT2203,7.6,2012-01-01
13020196,MAT1101,5.1,2012-01-01
13020196,INT2202,6,2011-01-01
13020704,PHI1004,3,2012-01-01
13020704,INT1003,5.5,2010-01-01
13020704,INT1006,1.4,2011-01-01
13020704,FLF1105,7.8,2011-01-01
13020704,FLF1106,5.1,2011-01-01
13020704,FLF1107,4.1,2012-01-01
13020704,MAT1093,3.4,2011-01-01
13020704,MAT1094,4.6,2010-01-01
13020704,PHY1100,6.2,2010-01-01
13020704,PHY1103,6,2012-01-01
13020704,INT2204,0.2,2012-01-01
13020704,INT2205,5.2,2012-01-01
13020704,INT2202,1.6,2011-01-01
13020228,PHI1004,6,2012-01-01
13020228,HIS1002,7.4,2011-01-01
13020228,INT1003,7.1,2010-01-01
13020228,INT1006,8,2010-01-01
13020228,FLF1105,6.8,2010-01-01
13020228,FLF1106,6.6,2011-01-01
13020228,FLF1107,6.6,2012-01-01
13020228,MAT1093,5.3,2011-01-01
13020228,MAT1094,5.5,2010-01-01
13020228,MAT1095,8.8,2011-01-01
13020228,PHY1100,6.4,2011-01-01
13020228,PHY1103,6.6,2012-01-01
13020228,INT2203,8.2,2012-01-01
13020228,INT2204,5.2,2012-01-01
13020228,INT2205,6,2012-01-01
13020228,INT2202,7.2,2011-01-01
13020229,PHI1004,5.7,2012-01-01
13020229,INT1003,7.9,2010-01-01
13020229,INT1006,6.2,2010-01-01
13020229,FLF1105,7.5,2010-01-01
13020229,FLF1106,6.8,2011-01-01
13020229,FLF1107,4.9,2012-01-01
13020229,MAT1093,5.6,2011-01-01
13020229,MAT1094,5.9,2010-01-01
13020229,MAT1095,8.2,2011-01-01
13020229,PHY1100,5,2010-01-01
13020229,PHY1103,6.3,2012-01-01
13020229,INT2203,5.2,2012-01-01
13020229,INT2204,5.4,2012-01-01
13020229,INT2205,10,2012-01-01
13020229,INT2202,4.6,2011-01-01
13020265,PHI1004,6,2012-01-01
13020265,INT1003,8.2,2010-01-01
13020265,INT1006,7.1,2010-01-01
13020265,FLF1105,4.5,2010-01-01
13020265,FLF1106,4.1,2011-01-01
13020265,MAT1093,6.4,2011-01-01
13020265,MAT1094,9.3,2010-01-01
13020265,MAT1095,9.2,2011-01-01
13020265,PHY1100,5.8,2010-01-01
13020265,PHY1103,6.9,2012-01-01
13020265,INT2203,9.1,2012-01-01
13020265,MAT1101,9.3,2012-01-01
13020265,INT2204,5.6,2012-01-01
13020265,INT2205,9,2012-01-01
13020265,INT2202,7.2,2011-01-01
13020725,INT1003,0,2010-01-01
13020725,INT1006,0,2010-01-01
13020725,FLF1105,0,2010-01-01
13020725,FLF1106,0,2011-01-01
13020725,MAT1093,0,2011-01-01
13020725,MAT1094,0,2010-01-01
13020725,MAT1095,0,2011-01-01
13020725,PHY1100,0,2010-01-01
13020725,INT2202,0,2011-01-01
13020275,INT1006,7.7,2012-01-01
13020275,FLF1105,5.4,2010-01-01
13020275,FLF1106,6,2011-01-01
13020275,MAT1093,5.2,2011-01-01
13020275,MAT1094,5.7,2010-01-01
13020275,MAT1095,7.5,2011-01-01
13020275,PHY1100,4.5,2010-01-01
13020275,PHY1103,7.8,2012-01-01
13020275,INT2203,5.2,2012-01-01
13020275,INT2204,5.1,2012-01-01
13020275,INT2205,4.4,2012-01-01
13020275,INT2202,4.1,2011-01-01
13020280,PHI1004,6.9,2012-01-01
13020280,INT1003,5.4,2010-01-01
13020280,INT1006,5.7,2010-01-01
13020280,FLF1105,5.2,2010-01-01
13020280,FLF1106,5.7,2011-01-01
13020280,FLF1107,4.5,2012-01-01
13020280,MAT1093,5,2011-01-01
13020280,MAT1094,5.9,2010-01-01
13020280,MAT1095,7.8,2011-01-01
13020280,PHY1100,6.7,2010-01-01
13020280,PHY1103,5.9,2012-01-01
13020280,INT2204,6.1,2012-01-01
13020280,INT2205,9.4,2012-01-01
13020280,INT2202,5.8,2011-01-01
13020629,PHI1004,5,2012-01-01
13020629,INT1003,8,2010-01-01
13020629,INT1006,6.7,2010-01-01
13020629,FLF1105,8.1,2010-01-01
13020629,FLF1106,7.2,2011-01-01
13020629,FLF1107,6.9,2012-01-01
13020629,MAT1093,6,2011-01-01
13020629,MAT1094,4.3,2010-01-01
13020629,MAT1095,6.3,2011-01-01
13020629,PHY1100,7.5,2010-01-01
13020629,PHY1103,6.3,2012-01-01
13020629,INT2204,5.5,2012-01-01
13020629,INT2205,7.1,2012-01-01
13020629,INT2202,5.8,2011-01-01
13020290,PHI1004,4.8,2012-01-01
13020290,INT1003,7.7,2010-01-01
13020290,INT1006,6.9,2010-01-01
13020290,FLF1105,4.8,2010-01-01
13020290,FLF1106,1.1,2011-01-01
13020290,MAT1094,6,2010-01-01
13020290,MAT1095,9.4,2011-01-01
13020290,PHY1100,6.3,2010-01-01
13020290,PHY1103,5.8,2012-01-01
13020290,MAT1101,5.2,2012-01-01
13020290,INT2205,1.8,2012-01-01
13020290,INT2202,7.2,2011-01-01
13020290,MAT1099,9.5,2012-01-01
13020291,PHI1004,5.6,2012-01-01
13020291,INT1003,7.7,2010-01-01
13020291,INT1006,7.6,2010-01-01
13020291,FLF1105,4.5,2010-01-01
13020291,FLF1106,5.9,2011-01-01
13020291,FLF1107,5.6,2012-01-01
13020291,MAT1093,3.4,2011-01-01
13020291,MAT1094,5.7,2010-01-01
13020291,MAT1095,8.6,2011-01-01
13020291,PHY1100,4.8,2010-01-01
13020291,PHY1103,4.2,2012-01-01
13020291,INT2203,7.2,2012-01-01
13020291,INT2204,9.5,2012-01-01
13020291,INT2205,7.2,2012-01-01
13020291,INT2202,7.8,2011-01-01
13020550,PHI1004,6,2012-01-01
13020550,INT1003,7.5,2010-01-01
13020550,INT1006,7.3,2010-01-01
13020550,FLF1105,4.8,2010-01-01
13020550,FLF1106,3,2011-01-01
13020550,MAT1093,5.5,2011-01-01
13020550,MAT1094,7.3,2010-01-01
13020550,MAT1095,8.1,2011-01-01
13020550,PHY1100,6.9,2010-01-01
13020550,PHY1103,4.3,2012-01-01
13020550,INT2203,7.1,2012-01-01
13020550,MAT1101,5.3,2012-01-01
13020550,INT2204,6.3,2012-01-01
13020550,INT2202,7.2,2011-01-01
13020314,PHI1004,7.8,2012-01-01
13020314,INT1003,7.7,2010-01-01
13020314,INT1006,4.9,2010-01-01
13020314,FLF1105,7.1,2010-01-01
